Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2016-2017,Ligue1,Bastia,Thievy Bifouma,cg CGO,"FW,MF",24.0,7.9,2.0,20.0,8.0,40.0,2.55,1.02,0.1,0.25,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Lindsay Rose,mu MRI,DF,24.0,7.7,0.0,4.0,0.0,0.0,0.52,0.0,0.0,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Nicolas Saint-Ruf,gp GLP,DF,23.0,3.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Florian Raspentino,fr FRA,FW,27.0,3.1,0.0,3.0,2.0,66.7,0.96,0.64,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Thomas Vincensini,fr FRA,GK,22.0,3.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Alexis Thébaux,fr FRA,GK,31.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Farid Boulaya,dz ALG,FW,23.0,0.2,0.0,1.0,0.0,0.0,5.29,0.0,0.0,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Jerson Cabral,nl NED,FW,25.0,0.8,0.0,1.0,0.0,0.0,1.32,0.0,0.0,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Paul Charruau,fr FRA,GK,23.0,0.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Geoffrey Acheampong,gh GHA,MF,19.0,0.1,0.0,1.0,0.0,0.0,7.5,0.0,0.0,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Squad Total,,,26.9,38.0,28.0,385.0,122.0,31.7,10.13,3.21,0.07,0.23,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Opponent Total,,,26.1,38.0,52.0,484.0,176.0,36.4,12.74,4.63,0.1,0.27,,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
