Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2003-2004,EPL,Aston Villa,Opponent Total,,,27.4,38.0,38.0,,,,,,,,12.0,11.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Charlton Ath,Dean Kiely,ie IRL,GK,32.0,37.0,37.0,3330.0,37.0,48.0,1.3,195.0,147.0,75.4,14.0,11.0,12.0,10.0,27.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Charlton Ath,Simon Royce,eng ENG,GK,31.0,1.0,1.0,90.0,1.0,3.0,3.0,10.0,7.0,70.0,0.0,0.0,1.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Charlton Ath,Squad Total,,,28.4,38.0,38.0,3420.0,,51.0,1.34,205.0,154.0,75.1,14.0,11.0,13.0,10.0,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Charlton Ath,Opponent Total,,,27.1,38.0,38.0,,,,,,,,13.0,11.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Bolton,Jussi Jääskeläinen,fi FIN,GK,28.0,38.0,38.0,3420.0,38.0,56.0,1.47,182.0,126.0,69.2,14.0,11.0,13.0,10.0,26.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Bolton,Squad Total,,,28.5,38.0,38.0,3420.0,,56.0,1.47,182.0,126.0,69.2,14.0,11.0,13.0,10.0,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Bolton,Opponent Total,,,27.4,38.0,38.0,,,,,,,,13.0,11.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Fulham,Edwin van der Sar,nl NED,GK,32.0,37.0,37.0,3240.0,37.0,44.0,1.22,201.0,157.0,78.1,14.0,10.0,13.0,15.0,40.5,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Fulham,Mark Crossley,wls WAL,GK,34.0,1.0,1.0,90.0,1.0,2.0,2.0,6.0,4.0,66.7,0.0,0.0,1.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Fulham,Squad Total,,,27.1,38.0,38.0,3330.0,,46.0,1.24,207.0,161.0,77.8,14.0,10.0,14.0,15.0,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Fulham,Opponent Total,,,27.2,38.0,38.0,,,,,,,,14.0,10.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Birmingham City,Maik Taylor,nir NIR,GK,31.0,34.0,34.0,2959.0,32.9,36.0,1.09,159.0,123.0,77.4,12.0,12.0,9.0,14.0,41.2,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Birmingham City,Ian Bennett,eng ENG,GK,31.0,6.0,4.0,461.0,5.1,12.0,2.34,24.0,12.0,50.0,0.0,2.0,3.0,1.0,25.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Birmingham City,Squad Total,,,27.4,38.0,38.0,3420.0,,48.0,1.26,183.0,135.0,73.8,12.0,14.0,12.0,15.0,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Birmingham City,Opponent Total,,,27.2,38.0,38.0,,,,,,,,12.0,14.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Middlesbrough,Mark Schwarzer,au AUS,GK,30.0,36.0,36.0,3240.0,36.0,51.0,1.42,174.0,123.0,70.7,11.0,9.0,16.0,13.0,36.1,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Middlesbrough,Brad Jones,au AUS,GK,21.0,1.0,1.0,90.0,1.0,1.0,1.0,5.0,4.0,80.0,1.0,0.0,0.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
