Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Unnamed: 21_level_0_xA,Unnamed: 22_level_0_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,S_h,S_h.1,S_h.2,M_e,M_e.1,M_e.2,L_o,L_o.1,L_o.2,U_n.5,U_n.6,E_x,E_x.1,U_n.7,U_n.8,U_n.9,U_n.10,U_n.11,U_n.12,Expected_xA,Expected_A-xAG
2021-2022,SeriaA,Genoa,Zinho Vanheusden,be BEL,DF,22.0,11.0,333.0,421.0,79.1,6281.0,2252.0,119.0,133.0,89.5,173.0,204.0,84.8,35.0,65.0,53.8,0.0,0.1,0.3,-0.1,1.0,18.0,0.0,0.0,26.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Davide Biraschi,it ITA,DF,27.0,10.3,322.0,449.0,71.7,6059.0,2526.0,116.0,144.0,80.6,170.0,213.0,79.8,31.0,74.0,41.9,0.0,0.2,0.2,-0.2,3.0,38.0,6.0,2.0,42.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Filippo Melegoni,it ITA,"MF,FW",22.0,10.9,234.0,347.0,67.4,3325.0,1086.0,133.0,168.0,79.2,73.0,104.0,70.2,14.0,37.0,37.8,0.0,1.1,1.8,-1.1,15.0,14.0,11.0,3.0,27.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Kelvin Yeboah,it ITA,"FW,MF",21.0,9.4,113.0,178.0,63.5,1392.0,441.0,74.0,100.0,74.0,24.0,39.0,61.5,4.0,8.0,50.0,1.0,1.4,0.9,-0.4,13.0,7.0,5.0,2.0,11.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Nadiem Amiri,de GER,"MF,FW",24.0,7.6,222.0,299.0,74.2,3236.0,970.0,122.0,144.0,84.7,74.0,93.0,79.6,10.0,33.0,30.3,1.0,2.1,1.4,-1.1,20.0,16.0,9.0,1.0,33.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Goran Pandev,mk MKD,"FW,MF",38.0,9.4,167.0,236.0,70.8,2297.0,660.0,98.0,130.0,75.4,49.0,63.0,77.8,6.0,10.0,60.0,1.0,1.2,0.9,-0.2,10.0,13.0,6.0,1.0,25.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Hernani,br BRA,"MF,FW",27.0,7.6,171.0,237.0,72.2,2623.0,630.0,95.0,110.0,86.4,53.0,80.0,66.3,12.0,19.0,63.2,0.0,0.2,0.2,-0.2,2.0,13.0,3.0,2.0,17.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Morten Frendrup,dk DEN,"DF,MF",20.0,7.7,239.0,349.0,68.5,3865.0,1541.0,114.0,141.0,80.9,92.0,127.0,72.4,21.0,44.0,47.7,0.0,0.4,0.3,-0.4,4.0,22.0,4.0,2.0,25.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Albert Guðmundsson,is ISL,"FW,MF",24.0,6.7,155.0,239.0,64.9,2097.0,722.0,88.0,105.0,83.8,40.0,62.0,64.5,12.0,39.0,30.8,0.0,0.8,1.6,-0.8,12.0,12.0,10.0,5.0,15.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Paolo Ghiglione,it ITA,DF,24.0,6.7,212.0,343.0,61.8,3539.0,1560.0,104.0,118.0,88.1,75.0,119.0,63.0,25.0,72.0,34.7,1.0,1.0,0.4,0.0,8.0,14.0,10.0,9.0,20.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
