Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2021-2022,Bundesliga,Köln,Timo Hübers,de GER,DF,25.0,,1740.0,87.0,56.9,19.3,20.0,87.0,17.0,0.0,,8.0,1.7,30.0,26.0,4.0,0.21,0.28,26.8,29.2,-2.4,-0.12,-0.25,Matches,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Ondrej Duda,sk SVK,"MF,FW",26.0,,1611.0,52.0,52.6,17.9,20.0,72.0,3.0,11.0,16.0,1.0,1.48,18.0,31.0,-13.0,-0.73,-1.72,24.8,24.2,0.6,0.03,0.11,Matches,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Rafael Czichos,de GER,DF,31.0,,1402.0,82.0,45.8,15.6,16.0,86.0,14.0,1.0,26.0,0.0,1.47,25.0,24.0,1.0,0.06,-0.04,26.3,21.2,5.1,0.33,0.64,Matches,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Sebastian Andersson,se SWE,FW,30.0,,1257.0,48.0,41.1,14.0,13.0,77.0,3.0,13.0,20.0,1.0,1.38,15.0,17.0,-2.0,-0.14,-0.39,19.2,20.8,-1.6,-0.12,-0.17,Matches,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Timo Horn,de GER,GK,28.0,,1170.0,90.0,38.2,13.0,13.0,90.0,13.0,0.0,,13.0,1.38,19.0,21.0,-2.0,-0.15,-0.39,21.3,19.1,2.2,0.17,0.3,Matches,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Jan Thielmann,de GER,"MF,FW",19.0,,1192.0,41.0,39.0,13.2,10.0,75.0,2.0,19.0,23.0,0.0,1.45,20.0,22.0,-2.0,-0.15,-0.39,17.2,20.7,-3.4,-0.26,-0.4,Matches,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Kingsley Ehizibue,nl NED,DF,26.0,,681.0,43.0,22.3,7.6,6.0,74.0,2.0,10.0,24.0,17.0,1.25,12.0,11.0,1.0,0.13,0.06,10.9,16.5,-5.6,-0.75,-0.94,Matches,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Louis Schaub,at AUT,"MF,FW",26.0,,654.0,23.0,21.4,7.3,6.0,62.0,0.0,22.0,13.0,6.0,1.68,15.0,14.0,1.0,0.14,0.06,12.2,13.2,-1.0,-0.14,-0.16,Matches,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Jorge Meré,es ESP,DF,24.0,,490.0,61.0,16.0,5.4,5.0,74.0,3.0,3.0,40.0,9.0,1.13,7.0,11.0,-4.0,-0.73,-0.98,8.8,11.2,-2.4,-0.43,-0.5,Matches,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Jannes Horn,de GER,DF,24.0,,478.0,43.0,15.6,5.3,3.0,75.0,1.0,8.0,32.0,9.0,1.82,8.0,8.0,0.0,0.0,-0.1,8.7,8.4,0.3,0.06,0.09,Matches,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
