Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2010-2011,Bundesliga,Kaiserslautern,Squad Total,,,25.2,34.0,34.0,3060.0,,51.0,1.5,173.0,122.0,70.5,13.0,7.0,14.0,8.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Kaiserslautern,Opponent Total,,,25.7,34.0,34.0,,,,,,,,14.0,7.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Hamburger SV,Frank Rost,de GER,GK,37.0,30.0,30.0,2651.0,29.5,43.0,1.46,142.0,99.0,69.7,11.0,8.0,10.0,7.0,23.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Hamburger SV,Jaroslav Drobný,cz CZE,GK,30.0,5.0,4.0,409.0,4.5,9.0,1.98,24.0,15.0,62.5,1.0,1.0,3.0,1.0,25.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Hamburger SV,Squad Total,,,28.0,34.0,34.0,3060.0,,52.0,1.53,166.0,114.0,68.7,12.0,9.0,13.0,8.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Hamburger SV,Opponent Total,,,25.4,34.0,34.0,,,,,,,,13.0,9.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Freiburg,Oliver Baumann,de GER,GK,20.0,30.0,30.0,2700.0,30.0,42.0,1.4,171.0,129.0,75.4,11.0,5.0,14.0,8.0,26.7,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Freiburg,Simon Pouplin,fr FRA,GK,25.0,4.0,4.0,360.0,4.0,8.0,2.0,23.0,15.0,65.2,2.0,0.0,2.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Freiburg,Squad Total,,,25.5,34.0,34.0,3060.0,,50.0,1.47,194.0,144.0,74.2,13.0,5.0,16.0,8.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Freiburg,Opponent Total,,,25.7,34.0,34.0,,,,,,,,16.0,5.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Köln,Michael Rensing,de GER,GK,26.0,17.0,17.0,1530.0,17.0,29.0,1.71,106.0,77.0,72.6,9.0,2.0,6.0,6.0,35.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Köln,Faryd Mondragón,co COL,GK,39.0,12.0,12.0,1080.0,12.0,20.0,1.67,68.0,48.0,70.6,3.0,3.0,6.0,4.0,33.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Köln,Miro Varvodić,hr CRO,GK,21.0,5.0,5.0,450.0,5.0,13.0,2.6,28.0,15.0,53.6,1.0,0.0,4.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Köln,Squad Total,,,26.3,34.0,34.0,3060.0,,62.0,1.82,202.0,140.0,69.3,13.0,5.0,16.0,10.0,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Köln,Opponent Total,,,25.5,34.0,34.0,,,,,,,,16.0,5.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
