Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Unnamed: 21_level_0_xA,Unnamed: 22_level_0_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,S_h,S_h.1,S_h.2,M_e,M_e.1,M_e.2,L_o,L_o.1,L_o.2,U_n.5,U_n.6,E_x,E_x.1,U_n.7,U_n.8,U_n.9,U_n.10,U_n.11,U_n.12,Expected_xA,Expected_A-xAG
2019-2020,SeriaA,Sassuolo,Andrea Consigli,it ITA,GK,32.0,31.0,775.0,988.0,78.4,16903.0,11221.0,302.0,302.0,100.0,277.0,287.0,96.5,183.0,381.0,48.0,0.0,0.9,0.2,-0.9,4.0,12.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Sassuolo,Manuel Locatelli,it ITA,MF,21.0,28.7,1882.0,2190.0,85.9,31880.0,8504.0,982.0,1057.0,92.9,679.0,758.0,89.6,178.0,275.0,64.7,5.0,4.6,4.5,0.4,51.0,230.0,25.0,2.0,229.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Sassuolo,Domenico Berardi,it ITA,FW,24.0,27.7,876.0,1212.0,72.3,14283.0,3850.0,455.0,541.0,84.1,324.0,402.0,80.6,75.0,169.0,44.4,10.0,7.9,5.1,2.1,60.0,55.0,51.0,3.0,132.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Sassuolo,Jeremie Boga,ci CIV,FW,22.0,27.9,832.0,983.0,84.6,10001.0,1641.0,599.0,671.0,89.3,180.0,209.0,86.1,16.0,19.0,84.2,2.0,3.4,3.3,-1.4,35.0,32.0,24.0,0.0,74.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Sassuolo,Jeremy Toljan,de GER,DF,24.0,24.3,1247.0,1478.0,84.4,18633.0,6013.0,732.0,773.0,94.7,452.0,524.0,86.3,49.0,108.0,45.4,2.0,2.3,1.7,-0.3,28.0,70.0,27.0,9.0,111.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Sassuolo,Gian Marco Ferrari,it ITA,DF,27.0,21.1,1384.0,1492.0,92.8,24056.0,8785.0,551.0,574.0,96.0,739.0,771.0,95.8,82.0,123.0,66.7,1.0,1.0,0.9,0.0,8.0,64.0,3.0,0.0,89.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Sassuolo,Marlon,br BRA,DF,23.0,20.2,1383.0,1468.0,94.2,23485.0,9362.0,633.0,656.0,96.5,642.0,661.0,97.1,90.0,120.0,75.0,0.0,0.6,0.5,-0.6,10.0,79.0,3.0,0.0,79.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Sassuolo,Hamed Junior Traorè,ci CIV,"MF,FW",19.0,17.4,611.0,802.0,76.2,8945.0,2564.0,371.0,420.0,88.3,189.0,231.0,81.8,33.0,98.0,33.7,1.0,1.9,2.3,-0.9,30.0,57.0,22.0,1.0,89.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Sassuolo,Filip Đuričić,rs SRB,"MF,FW",27.0,18.1,546.0,701.0,77.9,7954.0,2009.0,307.0,357.0,86.0,172.0,204.0,84.3,31.0,51.0,60.8,5.0,4.1,2.1,0.9,39.0,50.0,23.0,0.0,76.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Sassuolo,Pedro Obiang,gq EQG,MF,27.0,18.6,965.0,1096.0,88.0,14416.0,4008.0,559.0,604.0,92.5,331.0,367.0,90.2,50.0,69.0,72.5,1.0,0.7,0.8,0.3,16.0,81.0,10.0,1.0,90.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
