Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2018-2019,LaLiga,Leganés,Juanfran,es ESP,"DF,FW",29.0,16.2,1.0,10.0,3.0,30.0,0.62,0.19,0.1,0.33,19.6,0.0,0.0,,0.0,0.4,0.4,0.04,0.6,0.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Martin Braithwaite,dk DEN,FW,27.0,15.6,4.0,29.0,8.0,27.6,1.86,0.51,0.14,0.5,12.2,0.0,0.0,,0.0,5.1,5.1,0.19,-1.1,-1.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Rodrigo Tarín,es ESP,DF,22.0,15.9,0.0,4.0,0.0,0.0,0.25,0.0,0.0,,10.0,0.0,0.0,,0.0,0.3,0.3,0.08,-0.3,-0.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Recio,es ESP,MF,27.0,14.3,0.0,10.0,4.0,40.0,0.7,0.28,0.0,0.0,23.9,0.0,0.0,,0.0,0.3,0.3,0.03,-0.3,-0.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Gerard Gumbau,es ESP,MF,23.0,13.3,1.0,18.0,5.0,27.8,1.35,0.38,0.0,0.0,25.3,1.0,1.0,,3.0,2.0,1.2,0.07,-1.0,-1.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Nabil El Zhar,ma MAR,"MF,FW",31.0,10.7,4.0,25.0,8.0,32.0,2.33,0.75,0.12,0.38,22.6,1.0,1.0,,0.0,2.9,2.1,0.08,1.1,0.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Javier Eraso,es ESP,"MF,FW",28.0,7.0,0.0,3.0,2.0,66.7,0.43,0.29,0.0,0.0,17.2,0.0,0.0,,0.0,0.1,0.1,0.05,-0.1,-0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Vasyl Kravets,ua UKR,"DF,FW",20.0,5.3,0.0,4.0,2.0,50.0,0.75,0.37,0.0,0.0,24.1,0.0,0.0,,0.0,0.1,0.1,0.03,-0.1,-0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Michael Santos,uy URU,"FW,MF",25.0,6.2,1.0,18.0,5.0,27.8,2.91,0.81,0.06,0.2,12.6,0.0,0.0,,0.0,2.1,2.1,0.12,-1.1,-1.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Raúl García,es ESP,DF,29.0,4.2,0.0,2.0,0.0,0.0,0.47,0.0,0.0,,31.0,0.0,0.0,,0.0,0.0,0.0,0.02,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Andriy Lunin,ua UKR,GK,19.0,4.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Diego Reyes,mx MEX,DF,25.0,3.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Sabin Merino,es ESP,"FW,MF",26.0,3.3,0.0,11.0,4.0,36.4,3.36,1.22,0.0,0.0,12.1,0.0,0.0,,0.0,1.5,1.5,0.13,-1.5,-1.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Diego Rolán,uy URU,"MF,FW",25.0,2.4,0.0,2.0,0.0,0.0,0.84,0.0,0.0,,19.2,0.0,0.0,,0.0,0.1,0.1,0.03,-0.1,-0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
