Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,T_o.5,T_o.6,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_a,C_a.1,C_a.2,C_a.3,C_a.4,C_a.5,C_a.6,C_a.7,R_e,R_e.1,U_n.5
2019-2020,Bundesliga,Bayern Munich,Álvaro Odriozola,es ESP,DF,23.0,1.7,127.0,1.0,19.0,52.0,56.0,4.0,127.0,4.0,2.0,50.0,2.0,50.0,82.0,597.0,297.0,11.0,9.0,2.0,5.0,0.0,96.0,30.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,30.0,1.0,54.0,48.0,54.0,0.0,0.0,0.0,54.0,0.0,0.0,,0.0,,38.0,101.0,50.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Sarpreet Singh,nz NZL,"FW,MF",20.0,0.8,33.0,0.0,2.0,16.0,15.0,4.0,33.0,0.0,0.0,,0.0,,25.0,117.0,29.0,1.0,0.0,0.0,1.0,1.0,28.0,5.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Kwasi Okyere Wriedt,gh GHA,FW,25.0,0.2,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,,0.0,,3.0,19.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Oliver Batista-Meier,de GER,MF,18.0,0.1,5.0,0.0,1.0,2.0,2.0,0.0,5.0,0.0,0.0,,0.0,,6.0,41.0,5.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Leon Dajaku,de GER,"DF,MF",18.0,0.1,7.0,0.0,2.0,3.0,2.0,0.0,7.0,0.0,0.0,,0.0,,3.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Chris Richards,us USA,DF,19.0,0.1,5.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,,0.0,,3.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Renato Sanches,pt POR,MF,21.0,0.1,10.0,0.0,1.0,4.0,5.0,1.0,10.0,0.0,0.0,,0.0,,9.0,38.0,25.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Jamal Musiala,de GER,MF,16.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,6.0,0.0,0.0,,0.0,,5.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Squad Total,,,26.7,34.0,27878.0,1923.0,7313.0,13410.0,7376.0,1215.0,27872.0,741.0,480.0,64.8,261.0,35.2,17382.0,92867.0,49916.0,930.0,624.0,266.0,515.0,309.0,20486.0,2285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Opponent Total,,,26.0,34.0,17140.0,3065.0,7773.0,6685.0,2886.0,459.0,17136.0,503.0,292.0,58.1,211.0,41.9,8781.0,45945.0,22952.0,433.0,323.0,116.0,508.0,289.0,9513.0,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Roman Bürki,ch SUI,GK,28.0,30.8,1103.0,911.0,1100.0,3.0,0.0,0.0,1103.0,2.0,0.0,0.0,2.0,100.0,567.0,2993.0,1571.0,0.0,0.0,0.0,1.0,0.0,543.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Mats Hummels,de GER,DF,30.0,28.7,2616.0,256.0,1283.0,1268.0,82.0,29.0,2616.0,15.0,14.0,93.3,1.0,6.7,1587.0,7992.0,4702.0,23.0,13.0,1.0,15.0,7.0,1789.0,8.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Achraf Hakimi,ma MAR,"DF,MF",20.0,30.2,2780.0,51.0,514.0,1360.0,927.0,104.0,2780.0,120.0,73.0,60.8,47.0,39.2,1689.0,9213.0,5414.0,159.0,109.0,41.0,59.0,44.0,2057.0,323.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Thorgan Hazard,be BEL,"FW,MF",26.0,26.4,1515.0,16.0,151.0,575.0,810.0,108.0,1515.0,82.0,48.0,58.5,34.0,41.5,883.0,5261.0,2664.0,100.0,58.0,40.0,61.0,55.0,1137.0,281.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Raphaël Guerreiro,pt POR,"DF,MF",25.0,25.9,2393.0,46.0,553.0,1272.0,591.0,53.0,2393.0,66.0,41.0,62.1,25.0,37.9,1416.0,6557.0,3906.0,75.0,72.0,8.0,36.0,25.0,1748.0,131.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Manuel Akanji,ch SUI,DF,24.0,25.7,2148.0,170.0,1025.0,1055.0,72.0,10.0,2148.0,7.0,6.0,85.7,1.0,14.3,1443.0,7119.0,3766.0,18.0,12.0,0.0,15.0,6.0,1646.0,6.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Jadon Sancho,eng ENG,"FW,MF",19.0,25.4,1889.0,8.0,144.0,791.0,984.0,122.0,1889.0,138.0,77.0,55.8,61.0,44.2,1286.0,8217.0,4153.0,135.0,106.0,48.0,61.0,33.0,1579.0,298.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Axel Witsel,be BEL,MF,30.0,24.9,1992.0,41.0,373.0,1327.0,308.0,29.0,1992.0,26.0,22.0,84.6,4.0,15.4,1343.0,5922.0,2325.0,26.0,28.0,2.0,18.0,28.0,1585.0,35.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Julian Brandt,de GER,"MF,FW",23.0,24.5,1951.0,16.0,259.0,1051.0,656.0,83.0,1951.0,92.0,66.0,71.7,26.0,28.3,1301.0,6501.0,2629.0,59.0,61.0,16.0,64.0,48.0,1607.0,183.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
