Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Unnamed: 21_level_0_xA,Unnamed: 22_level_0_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,S_h,S_h.1,S_h.2,M_e,M_e.1,M_e.2,L_o,L_o.1,L_o.2,U_n.5,U_n.6,E_x,E_x.1,U_n.7,U_n.8,U_n.9,U_n.10,U_n.11,U_n.12,Expected_xA,Expected_A-xAG
2021-2022,Ligue1,Paris S-G,Nuno Mendes,pt POR,DF,19.0,18.4,980.0,1131.0,86.6,14433.0,3632.0,577.0,621.0,92.9,312.0,358.0,87.2,53.0,74.0,71.6,1.0,2.8,2.2,-1.8,19.0,59.0,12.0,4.0,53.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Georginio Wijnaldum,nl NED,MF,30.0,18.4,669.0,746.0,89.7,9009.0,1685.0,395.0,429.0,92.1,210.0,229.0,91.7,21.0,23.0,91.3,3.0,1.8,1.7,1.2,12.0,53.0,10.0,0.0,59.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Idrissa Gana Gueye,sn SEN,MF,31.0,18.2,1298.0,1394.0,93.1,19520.0,5530.0,697.0,734.0,95.0,469.0,494.0,94.9,68.0,76.0,89.5,1.0,1.7,1.3,-0.7,15.0,138.0,7.0,0.0,132.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Gianluigi Donnarumma,it ITA,GK,22.0,17.0,424.0,469.0,90.4,8442.0,5460.0,152.0,154.0,98.7,200.0,206.0,97.1,70.0,106.0,66.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Thilo Kehrer,de GER,DF,24.0,16.8,1142.0,1209.0,94.5,18195.0,5655.0,563.0,580.0,97.1,495.0,518.0,95.6,53.0,67.0,79.1,0.0,0.0,0.3,0.0,2.0,61.0,0.0,0.0,67.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Ander Herrera,es ESP,MF,31.0,12.1,970.0,1060.0,91.5,14459.0,3847.0,542.0,573.0,94.6,308.0,332.0,92.8,67.0,84.0,79.8,2.0,1.4,2.5,0.6,18.0,102.0,18.0,0.0,97.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Juan Bernat,es ESP,"DF,MF",28.0,10.6,628.0,681.0,92.2,8076.0,1920.0,420.0,445.0,94.4,173.0,185.0,93.5,10.0,17.0,58.8,0.0,0.7,1.0,-0.7,5.0,37.0,5.0,1.0,30.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Mauro Icardi,ar ARG,FW,28.0,11.4,120.0,153.0,78.4,1530.0,152.0,68.0,86.0,79.1,36.0,41.0,87.8,2.0,3.0,66.7,0.0,0.7,0.5,-0.7,9.0,3.0,6.0,0.0,10.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Abdou Diallo,sn SEN,DF,25.0,9.7,623.0,704.0,88.5,10061.0,3871.0,302.0,320.0,94.4,263.0,290.0,90.7,42.0,63.0,66.7,1.0,0.7,1.1,0.3,4.0,41.0,6.0,4.0,47.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Leandro Paredes,ar ARG,MF,27.0,9.3,896.0,937.0,95.6,14984.0,4771.0,420.0,432.0,97.2,380.0,385.0,98.7,75.0,89.0,84.3,2.0,0.4,0.5,1.6,7.0,85.0,3.0,0.0,55.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Sergio Ramos,es ESP,DF,35.0,8.9,776.0,829.0,93.6,16436.0,5690.0,228.0,236.0,96.6,405.0,420.0,96.4,133.0,157.0,84.7,0.0,0.0,0.2,0.0,1.0,83.0,2.0,0.0,61.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Julian Draxler,de GER,"FW,MF",27.0,6.1,275.0,306.0,89.9,4059.0,769.0,157.0,168.0,93.5,91.0,98.0,92.9,15.0,20.0,75.0,1.0,2.3,0.8,-1.3,9.0,22.0,7.0,1.0,33.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Junior Dina Ebimbe,fr FRA,MF,20.0,3.5,192.0,215.0,89.3,3250.0,740.0,92.0,102.0,90.2,76.0,80.0,95.0,17.0,20.0,85.0,0.0,0.1,0.1,-0.1,1.0,21.0,1.0,0.0,21.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Rafinha,br BRA,"FW,MF",28.0,2.4,169.0,188.0,89.9,2387.0,419.0,89.0,97.0,91.8,61.0,67.0,91.0,7.0,9.0,77.8,0.0,0.1,0.1,-0.1,2.0,16.0,1.0,0.0,16.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Colin Dagba,fr FRA,DF,22.0,1.8,125.0,139.0,89.9,1582.0,308.0,86.0,91.0,94.5,32.0,38.0,84.2,1.0,1.0,100.0,0.0,0.1,0.2,-0.1,2.0,7.0,3.0,2.0,6.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Xavi Simons,nl NED,"MF,FW",18.0,1.5,48.0,60.0,80.0,606.0,99.0,36.0,41.0,87.8,9.0,13.0,69.2,1.0,1.0,100.0,0.0,0.1,0.1,-0.1,1.0,2.0,1.0,0.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Edouard Michut,fr FRA,MF,18.0,0.8,51.0,54.0,94.4,723.0,163.0,31.0,32.0,96.9,16.0,16.0,100.0,2.0,2.0,100.0,1.0,0.1,0.1,0.9,1.0,3.0,0.0,0.0,6.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
