Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,G_o,G_o.1,G_o.2,G_o.3,G_o.4,E_x,E_x.1,E_x.2,E_x.3,L_a,L_a.1,L_a.2,P_a,P_a.1,P_a.2,P_a.3,G_o.5,G_o.6,G_o.7,C_r,C_r.1,C_r.2,S_w,S_w.1,S_w.2,U_n.5
2017-2018,EPL,West Ham,Adrián,es ESP,GK,30.0,19.0,29.0,1.0,1.0,6.0,1.0,27.8,0.29,-0.2,-0.01,154.0,445.0,34.6,383.0,47.0,72.8,47.7,184.0,90.2,59.3,316.0,13.0,4.1,31.0,1.63,16.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,West Ham,Joe Hart,eng ENG,GK,30.0,19.0,39.0,4.0,0.0,4.0,0.0,32.8,0.32,-6.2,-0.33,175.0,469.0,37.3,441.0,52.0,72.1,49.1,155.0,97.4,67.0,284.0,4.0,1.4,11.0,0.58,13.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,West Ham,Squad Total,,,28.0,38.0,68.0,5.0,1.0,10.0,1.0,60.6,0.31,-6.4,-0.17,329.0,914.0,36.0,824.0,99.0,72.5,48.5,339.0,93.5,62.8,600.0,17.0,2.8,42.0,1.11,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,West Ham,Opponent Total,,,26.8,38.0,48.0,2.0,1.0,7.0,0.0,42.0,0.3,-6.0,-0.16,251.0,638.0,39.3,851.0,153.0,51.8,41.3,249.0,79.1,56.4,562.0,30.0,5.3,50.0,1.32,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Watford,Heurelho Gomes,br BRA,GK,36.0,23.6,40.0,3.0,1.0,7.0,1.0,36.0,0.34,-3.0,-0.13,199.0,483.0,41.2,566.0,115.0,60.4,42.3,179.0,78.8,56.5,342.0,15.0,4.4,18.0,0.76,12.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Watford,Orestis Karnezis,gr GRE,GK,32.0,14.4,24.0,3.0,0.0,2.0,0.0,19.8,0.31,-4.2,-0.29,121.0,321.0,37.7,323.0,31.0,76.2,48.2,81.0,92.6,58.0,182.0,10.0,5.5,9.0,0.63,13.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Watford,Squad Total,,,27.9,38.0,64.0,6.0,1.0,9.0,1.0,55.9,0.33,-7.1,-0.19,320.0,804.0,39.8,889.0,146.0,66.1,44.4,260.0,83.1,56.9,524.0,25.0,4.8,27.0,0.71,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Watford,Opponent Total,,,26.9,38.0,44.0,3.0,0.0,6.0,2.0,43.6,0.3,1.6,0.04,275.0,717.0,38.4,910.0,155.0,51.2,40.3,300.0,83.7,58.0,560.0,46.0,8.2,31.0,0.82,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Brighton,Mathew Ryan,au AUS,GK,25.0,38.0,54.0,1.0,1.0,15.0,5.0,48.8,0.28,-0.2,-0.01,345.0,875.0,39.4,823.0,122.0,66.5,44.5,352.0,93.2,57.9,623.0,38.0,6.1,17.0,0.45,10.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Brighton,Squad Total,,,27.5,38.0,54.0,1.0,1.0,15.0,5.0,48.8,0.28,-0.2,-0.01,345.0,875.0,39.4,823.0,122.0,66.5,44.5,352.0,93.2,57.9,623.0,38.0,6.1,17.0,0.45,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Brighton,Opponent Total,,,27.0,38.0,34.0,5.0,0.0,3.0,1.0,33.7,0.25,0.7,0.02,233.0,675.0,34.5,964.0,165.0,46.3,38.6,282.0,81.2,57.8,526.0,36.0,6.8,46.0,1.21,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Huddersfield,Jonas Lössl,dk DEN,GK,28.0,38.0,58.0,4.0,0.0,6.0,1.0,51.7,0.3,-5.3,-0.14,360.0,891.0,40.4,1083.0,103.0,59.4,45.2,304.0,81.6,57.9,493.0,31.0,6.3,55.0,1.45,14.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Huddersfield,Squad Total,,,26.4,38.0,58.0,4.0,0.0,6.0,1.0,51.7,0.3,-5.3,-0.14,360.0,891.0,40.4,1083.0,103.0,59.4,44.2,304.0,81.6,57.9,493.0,31.0,6.3,55.0,1.45,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Huddersfield,Opponent Total,,,27.0,38.0,28.0,2.0,0.0,3.0,3.0,29.9,0.26,4.9,0.13,219.0,632.0,34.7,940.0,144.0,47.0,38.6,264.0,72.0,53.5,601.0,23.0,3.8,57.0,1.5,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Southampton,Fraser Forster,eng ENG,GK,29.0,20.0,30.0,0.0,1.0,2.0,0.0,25.8,0.26,-4.2,-0.21,101.0,343.0,29.4,360.0,62.0,59.7,43.4,146.0,87.7,59.1,258.0,10.0,3.9,14.0,0.7,14.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Southampton,Alex McCarthy,eng ENG,GK,27.0,18.0,26.0,1.0,0.0,4.0,0.0,20.5,0.3,-5.5,-0.3,99.0,340.0,29.1,304.0,56.0,63.8,44.2,158.0,92.4,59.5,311.0,19.0,6.1,10.0,0.56,10.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Southampton,Squad Total,,,26.2,38.0,56.0,1.0,1.0,6.0,0.0,46.3,0.28,-9.7,-0.25,200.0,683.0,29.3,664.0,118.0,61.6,43.7,304.0,90.1,59.3,569.0,29.0,5.1,24.0,0.63,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Southampton,Opponent Total,,,26.9,38.0,37.0,3.0,1.0,7.0,1.0,36.8,0.25,0.8,0.02,321.0,789.0,40.7,913.0,159.0,57.2,42.6,321.0,83.2,58.6,644.0,41.0,6.4,48.0,1.26,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Swansea City,Łukasz Fabiański,pl POL,GK,32.0,38.0,56.0,3.0,1.0,5.0,2.0,59.5,0.28,5.5,0.14,315.0,812.0,38.8,914.0,159.0,54.5,42.2,358.0,87.7,59.9,615.0,42.0,6.8,22.0,0.58,11.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Swansea City,Squad Total,,,27.2,38.0,56.0,3.0,1.0,5.0,2.0,59.5,0.28,5.5,0.14,315.0,812.0,38.8,914.0,159.0,54.5,42.2,358.0,87.7,59.9,615.0,42.0,6.8,22.0,0.58,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Swansea City,Opponent Total,,,27.1,38.0,28.0,1.0,0.0,9.0,1.0,27.0,0.28,0.0,0.0,244.0,610.0,40.0,860.0,136.0,46.4,38.7,266.0,79.3,56.0,547.0,28.0,5.1,47.0,1.24,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Stoke City,Jack Butland,eng ENG,GK,24.0,35.0,61.0,5.0,0.0,8.0,2.0,61.7,0.29,2.7,0.08,377.0,969.0,38.9,934.0,103.0,71.1,48.4,338.0,90.2,62.4,609.0,25.0,4.1,39.0,1.11,13.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Stoke City,Lee Grant,eng ENG,GK,34.0,3.0,7.0,0.0,0.0,1.0,0.0,4.8,0.32,-2.2,-0.74,25.0,60.0,41.7,69.0,14.0,59.4,42.9,23.0,82.6,58.0,39.0,1.0,2.6,4.0,1.33,18.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Stoke City,Squad Total,,,27.5,38.0,68.0,5.0,0.0,9.0,2.0,66.5,0.29,0.5,0.01,402.0,1029.0,39.1,1003.0,117.0,70.3,43.0,361.0,89.8,62.2,648.0,26.0,4.0,43.0,1.13,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Stoke City,Opponent Total,,,26.9,38.0,35.0,0.0,1.0,7.0,1.0,35.2,0.26,1.2,0.03,220.0,591.0,37.2,845.0,162.0,46.0,37.9,273.0,74.0,53.2,465.0,37.0,8.0,29.0,0.76,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,West Brom,Ben Foster,eng ENG,GK,34.0,37.0,55.0,1.0,2.0,7.0,2.0,45.7,0.3,-7.3,-0.2,346.0,904.0,38.3,811.0,70.0,71.6,48.5,338.0,95.6,65.7,592.0,37.0,6.3,27.0,0.73,12.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,West Brom,Boaz Myhill,wls WAL,GK,34.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.12,-0.7,-0.65,7.0,16.0,43.8,12.0,0.0,83.3,50.2,7.0,85.7,53.4,22.0,3.0,13.6,0.0,0.0,7.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,West Brom,Squad Total,,,29.1,38.0,56.0,1.0,2.0,7.0,2.0,46.0,0.3,-8.0,-0.21,353.0,920.0,38.4,823.0,70.0,71.8,48.6,345.0,95.4,65.4,614.0,40.0,6.5,27.0,0.71,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,West Brom,Opponent Total,,,26.9,38.0,31.0,1.0,1.0,11.0,0.0,31.2,0.27,0.2,0.01,237.0,588.0,40.3,873.0,206.0,42.3,37.2,304.0,72.0,54.3,613.0,46.0,7.5,32.0,0.84,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
