Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Unnamed: 21_level_0_xA,Unnamed: 22_level_0_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,S_h,S_h.1,S_h.2,M_e,M_e.1,M_e.2,L_o,L_o.1,L_o.2,U_n.5,U_n.6,E_x,E_x.1,U_n.7,U_n.8,U_n.9,U_n.10,U_n.11,U_n.12,Expected_xA,Expected_A-xAG
2021-2022,LaLiga,Rayo Vallecano,Óscar Trejo,ar ARG,MF,33.0,22.3,795.0,1049.0,75.8,12207.0,3897.0,447.0,511.0,87.5,238.0,303.0,78.5,72.0,148.0,48.6,9.0,5.0,4.5,4.0,60.0,88.0,23.0,4.0,135.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Rayo Vallecano,Esteban Saveljich,me MNE,DF,30.0,18.9,498.0,605.0,82.3,9979.0,3016.0,145.0,165.0,87.9,290.0,320.0,90.6,55.0,101.0,54.5,0.0,0.0,0.3,0.0,1.0,14.0,2.0,1.0,20.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Rayo Vallecano,Sergi Guardiola,es ESP,FW,30.0,19.0,270.0,403.0,67.0,3792.0,824.0,168.0,223.0,75.3,67.0,97.0,69.1,16.0,24.0,66.7,2.0,2.0,1.9,0.0,15.0,10.0,12.0,2.0,32.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Rayo Vallecano,Randy Ntekja,fr FRA,"FW,MF",23.0,16.2,271.0,413.0,65.6,3523.0,773.0,177.0,234.0,75.6,70.0,108.0,64.8,8.0,23.0,34.8,0.0,1.4,1.2,-1.4,14.0,25.0,5.0,0.0,31.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Rayo Vallecano,Unai López,es ESP,MF,25.0,12.9,690.0,841.0,82.0,12902.0,3159.0,308.0,329.0,93.6,241.0,270.0,89.3,110.0,186.0,59.1,0.0,1.4,2.1,-1.4,24.0,58.0,12.0,3.0,68.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Rayo Vallecano,Pathé Ciss,sn SEN,MF,27.0,12.2,435.0,523.0,83.2,8270.0,2398.0,177.0,201.0,88.1,184.0,210.0,87.6,62.0,85.0,72.9,1.0,0.5,0.4,0.5,4.0,52.0,3.0,0.0,55.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Rayo Vallecano,Nikola Maraš,rs SRB,DF,25.0,11.6,370.0,457.0,81.0,7260.0,2514.0,119.0,136.0,87.5,208.0,240.0,86.7,39.0,73.0,53.4,0.0,0.1,0.1,-0.1,3.0,11.0,0.0,0.0,22.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Rayo Vallecano,Radamel Falcao,co COL,FW,35.0,9.3,132.0,173.0,76.3,1780.0,245.0,80.0,99.0,80.8,39.0,48.0,81.3,4.0,5.0,80.0,0.0,0.3,0.4,-0.3,5.0,9.0,1.0,1.0,15.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Rayo Vallecano,Mario Suárez,es ESP,DF,34.0,7.9,257.0,331.0,77.6,5310.0,2173.0,74.0,93.0,79.6,142.0,161.0,88.2,37.0,68.0,54.4,0.0,0.0,0.1,0.0,1.0,16.0,0.0,0.0,24.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Rayo Vallecano,Luca Zidane,fr FRA,GK,23.0,7.2,172.0,231.0,74.5,5174.0,4135.0,28.0,28.0,100.0,71.0,73.0,97.3,73.0,130.0,56.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Rayo Vallecano,Bebé,cv CPV,FW,31.0,9.6,208.0,332.0,62.7,3687.0,939.0,105.0,125.0,84.0,63.0,102.0,61.8,31.0,75.0,41.3,2.0,1.8,2.4,0.2,15.0,14.0,11.0,8.0,10.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Rayo Vallecano,Kévin Rodrigues,pt POR,"DF,FW",27.0,4.8,162.0,229.0,70.7,2424.0,1025.0,89.0,105.0,84.8,57.0,78.0,73.1,9.0,25.0,36.0,0.0,0.1,0.1,-0.1,3.0,13.0,2.0,1.0,16.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
