Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,Playing Time_MP,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,E_x,E_x.1,E_x.2,E_x.3,P_r,P_r.1,P_r.2,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,P_e.15,P_e.16,P_e.17,U_n.4,U_n.5
2010-2011,Bundesliga,Leverkusen,Michael Ballack,de GER,MF,33.0,,13.0,1175.0,13.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.08,0.08,0.0,0.08,Matches,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Lars Bender,de GER,"DF,MF",21.0,,10.0,1214.0,13.5,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,,,,0.22,0.0,0.22,0.22,0.22,Matches,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Hanno Balitsch,de GER,MF,29.0,,9.0,908.0,10.1,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,,,,0.3,0.0,0.3,0.3,0.3,Matches,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Patrick Helmes,de GER,FW,26.0,,8.0,698.0,7.8,5.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,,,,0.64,0.13,0.77,0.64,0.77,Matches,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Fabian Giefer,de GER,GK,20.0,,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Nicolai Jørgensen,dk DEN,"FW,MF",19.0,,1.0,187.0,2.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.96,0.96,0.0,0.96,Matches,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Domagoj Vida,hr CRO,"DF,MF",21.0,,0.0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Squad Total,,,25.2,,374.0,,,62.0,39.0,101.0,56.0,6.0,6.0,55.0,1.0,,,,1.82,1.15,2.97,1.65,2.79,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Opponent Total,,,25.9,,374.0,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Philipp Lahm,de GER,"DF,MF",26.0,34.0,34.0,3060.0,34.0,3.0,2.0,5.0,1.0,2.0,3.0,3.0,0.0,,,,0.09,0.06,0.15,0.03,0.09,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
