Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2018-2019,Bundesliga,RB Leipzig,Marcelo Saracchi,uy URU,DF,20.0,9.0,653.0,73.0,21.3,7.3,7.0,90.0,6.0,2.0,13.0,16.0,1.22,12.0,11.0,1.0,0.14,-1.1,15.9,10.3,5.6,0.76,0.03,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Bruma,pt POR,MF,23.0,14.0,553.0,40.0,18.1,6.1,6.0,80.0,3.0,8.0,9.0,13.0,1.71,9.0,5.0,4.0,0.65,-0.43,10.6,8.0,2.6,0.42,-0.39,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Jean-Kévin Augustin,fr FRA,FW,21.0,17.0,461.0,27.0,15.1,5.1,4.0,78.0,1.0,13.0,11.0,10.0,1.35,5.0,6.0,-1.0,-0.2,-1.41,9.9,5.8,4.1,0.8,0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Amadou Haidara,ml MLI,MF,20.0,9.0,378.0,42.0,12.4,4.2,4.0,75.0,2.0,5.0,16.0,0.0,2.22,8.0,6.0,2.0,0.48,-0.6,10.1,8.3,1.8,0.42,-0.36,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Yvon Mvogo,ch SUI,GK,24.0,2.0,135.0,68.0,4.4,1.5,1.0,90.0,1.0,1.0,45.0,19.0,1.5,3.0,2.0,1.0,0.67,-0.35,2.6,1.5,1.1,0.74,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Emile Smith Rowe,eng ENG,MF,18.0,3.0,29.0,10.0,0.9,0.3,0.0,,0.0,3.0,9.0,1.0,1.33,1.0,1.0,0.0,0.0,-1.01,1.3,0.5,0.8,2.47,1.75,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Erik Majetschak,de GER,"DF,MF",18.0,0.0,,,,,0.0,,0.0,0.0,,3.0,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Marius Müller,de GER,GK,25.0,0.0,,,,,0.0,,0.0,0.0,,14.0,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Niclas Stierlin,de GER,MF,18.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Squad Total,,,24.0,34.0,3060.0,90.0,100.0,34.0,374.0,86.0,,100.0,15.0,138.0,1.94,63.0,29.0,34.0,1.0,,65.7,40.5,25.2,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Opponent Total,,,25.8,34.0,3060.0,90.0,100.0,34.0,374.0,86.0,,100.0,15.0,143.0,0.79,29.0,63.0,-34.0,-1.0,,40.5,65.7,-25.2,-0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Leverkusen,Jonathan Tah,de GER,DF,22.0,33.0,2937.0,89.0,96.0,32.6,33.0,89.0,31.0,0.0,,0.0,1.73,67.0,51.0,16.0,0.49,-0.24,56.7,42.8,13.9,0.43,0.14,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Leverkusen,Kai Havertz,de GER,"MF,FW",19.0,34.0,2894.0,85.0,94.6,32.2,33.0,86.0,27.0,1.0,45.0,0.0,1.71,65.0,49.0,16.0,0.5,-0.04,56.6,41.4,15.2,0.47,0.97,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Leverkusen,Lukáš Hrádecký,fi FIN,GK,28.0,32.0,2880.0,90.0,94.1,32.0,32.0,90.0,32.0,0.0,,1.0,1.81,68.0,47.0,21.0,0.66,2.66,56.2,39.0,17.2,0.54,1.98,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Leverkusen,Kevin Volland,de GER,FW,26.0,34.0,2814.0,83.0,92.0,31.3,32.0,87.0,24.0,2.0,19.0,0.0,1.71,65.0,49.0,16.0,0.51,0.15,55.4,40.1,15.3,0.49,0.85,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Leverkusen,Julian Brandt,de GER,"MF,FW",22.0,33.0,2666.0,81.0,87.1,29.6,30.0,85.0,20.0,3.0,35.0,1.0,1.67,64.0,46.0,18.0,0.61,0.84,52.6,38.7,13.9,0.47,0.37,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Leverkusen,Wendell,br BRA,DF,25.0,28.0,2277.0,81.0,74.4,25.3,25.0,88.0,22.0,3.0,28.0,5.0,1.75,54.0,39.0,15.0,0.59,0.36,43.3,34.1,9.2,0.36,-0.22,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Leverkusen,Sven Bender,de GER,DF,29.0,27.0,1991.0,74.0,65.1,22.1,25.0,79.0,19.0,2.0,3.0,2.0,1.81,49.0,35.0,14.0,0.63,0.38,38.4,27.5,10.9,0.49,0.21,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Leverkusen,Mitchell Weiser,de GER,DF,24.0,30.0,2111.0,70.0,69.0,23.5,22.0,86.0,16.0,8.0,28.0,4.0,1.8,52.0,38.0,14.0,0.6,0.31,41.8,30.8,10.9,0.46,0.15,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Leverkusen,Charles Aránguiz,cl CHI,MF,29.0,24.0,1891.0,79.0,61.8,21.0,22.0,82.0,15.0,2.0,48.0,2.0,1.83,43.0,26.0,17.0,0.81,0.81,38.9,22.1,16.9,0.8,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Leverkusen,Leon Bailey,jm JAM,FW,20.0,29.0,1914.0,66.0,62.5,21.3,21.0,80.0,8.0,8.0,30.0,1.0,1.55,36.0,36.0,0.0,0.0,-1.34,33.9,29.2,4.7,0.22,-0.53,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Leverkusen,Lars Bender,de GER,"MF,DF",29.0,20.0,1361.0,68.0,44.5,15.1,18.0,75.0,9.0,2.0,8.0,1.0,1.5,29.0,24.0,5.0,0.33,-0.31,27.3,16.7,10.6,0.7,0.51,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Leverkusen,Julian Baumgartlinger,at AUT,MF,30.0,21.0,1559.0,74.0,50.9,17.3,16.0,89.0,14.0,5.0,28.0,4.0,2.19,43.0,23.0,20.0,1.15,1.33,33.1,17.1,16.0,0.92,1.03,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Leverkusen,Karim Bellarabi,de GER,FW,28.0,19.0,1057.0,56.0,34.5,11.7,14.0,70.0,7.0,5.0,14.0,1.0,1.68,25.0,13.0,12.0,1.02,0.8,19.8,14.6,5.2,0.44,0.03,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Leverkusen,Aleksandar Dragović,at AUT,DF,27.0,18.0,1335.0,74.0,43.6,14.8,13.0,88.0,12.0,5.0,38.0,16.0,1.94,28.0,21.0,7.0,0.47,-0.05,24.3,19.4,4.8,0.33,-0.17,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Leverkusen,Tin Jedvaj,hr CRO,DF,22.0,16.0,1121.0,70.0,36.6,12.5,13.0,81.0,10.0,3.0,21.0,15.0,1.56,16.0,23.0,-7.0,-0.56,-1.68,18.6,17.5,1.1,0.08,-0.53,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Leverkusen,Lucas Alario,ar ARG,"FW,MF",25.0,27.0,1265.0,47.0,41.3,14.1,11.0,83.0,5.0,16.0,22.0,6.0,1.7,33.0,16.0,17.0,1.21,1.21,22.9,18.3,4.7,0.33,-0.15,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
