Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,T_o.5,T_o.6,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_a,C_a.1,C_a.2,C_a.3,C_a.4,C_a.5,C_a.6,C_a.7,R_e,R_e.1,U_n.5
2019-2020,EPL,Southampton,Sofiane Boufal,ma MAR,"MF,FW",25.0,8.5,496.0,3.0,39.0,190.0,283.0,49.0,496.0,86.0,53.0,61.6,33.0,38.4,350.0,2773.0,1408.0,48.0,33.0,24.0,33.0,40.0,372.0,67.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Michael Obafemi,ie IRL,FW,19.0,7.4,239.0,0.0,14.0,109.0,125.0,34.0,239.0,24.0,14.0,58.3,10.0,41.7,140.0,752.0,236.0,8.0,5.0,7.0,40.0,15.0,175.0,52.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Kyle Walker-Peters,eng ENG,DF,22.0,7.8,530.0,29.0,145.0,260.0,130.0,10.0,530.0,19.0,17.0,89.5,2.0,10.5,278.0,1961.0,1106.0,26.0,20.0,6.0,9.0,6.0,282.0,25.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Maya Yoshida,jp JPN,DF,30.0,6.2,338.0,39.0,165.0,151.0,22.0,10.0,338.0,1.0,1.0,100.0,0.0,0.0,158.0,695.0,318.0,1.0,2.0,0.0,2.0,2.0,198.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,William Smallbone,ie IRL,MF,19.0,4.4,255.0,2.0,41.0,143.0,74.0,7.0,255.0,1.0,0.0,0.0,1.0,100.0,129.0,525.0,246.0,4.0,3.0,1.0,5.0,2.0,182.0,13.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Kevin Danso,at AUT,DF,20.0,3.1,203.0,12.0,46.0,116.0,43.0,2.0,203.0,7.0,3.0,42.9,4.0,57.1,88.0,556.0,287.0,6.0,4.0,0.0,4.0,1.0,109.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Jake Vokins,eng ENG,DF,19.0,1.0,80.0,1.0,9.0,34.0,37.0,1.0,80.0,1.0,0.0,0.0,1.0,100.0,42.0,236.0,136.0,4.0,4.0,0.0,2.0,1.0,59.0,11.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Nathan Tella,eng ENG,FW,20.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,,0.0,,1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Squad Total,,,25.9,38.0,22200.0,2123.0,6196.0,10753.0,5497.0,811.0,22196.0,680.0,423.0,62.2,257.0,37.8,10579.0,58592.0,29795.0,628.0,459.0,182.0,654.0,362.0,12363.0,1308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Opponent Total,,,26.5,38.0,22982.0,2401.0,7769.0,9935.0,5478.0,866.0,22977.0,794.0,469.0,59.1,324.0,40.8,12385.0,63277.0,31887.0,644.0,431.0,199.0,627.0,382.0,13308.0,1437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Everton,Jordan Pickford,eng ENG,GK,25.0,38.0,1456.0,1226.0,1439.0,17.0,0.0,0.0,1456.0,0.0,0.0,,0.0,,821.0,5000.0,2985.0,0.0,0.0,0.0,2.0,0.0,647.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Everton,Richarlison,br BRA,"FW,MF",22.0,34.1,1344.0,49.0,170.0,522.0,685.0,173.0,1344.0,111.0,61.0,55.0,50.0,45.0,855.0,5801.0,2545.0,95.0,68.0,44.0,92.0,74.0,938.0,222.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
