Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,G_o,G_o.1,G_o.2,G_o.3,G_o.4,E_x,E_x.1,E_x.2,E_x.3,L_a,L_a.1,L_a.2,P_a,P_a.1,P_a.2,P_a.3,G_o.5,G_o.6,G_o.7,C_r,C_r.1,C_r.2,S_w,S_w.1,S_w.2,U_n.5
2020-2021,LaLiga,Levante,Aitor Fernández,es ESP,GK,29.0,29.0,44.0,3.0,1.0,6.0,2.0,36.6,0.29,-5.4,-0.19,100.0,281.0,35.6,721.0,153.0,31.8,32.8,206.0,25.2,28.1,396.0,6.0,1.5,54.0,1.86,17.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Levante,Cárdenas,es ESP,GK,23.0,8.0,11.0,0.0,0.0,0.0,0.0,11.2,0.29,0.2,0.03,33.0,89.0,37.1,203.0,41.0,33.0,32.2,59.0,37.3,34.2,125.0,2.0,1.6,16.0,2.0,18.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Levante,Koke Vegas,es ESP,GK,24.0,1.0,2.0,0.0,0.0,0.0,0.0,2.2,0.55,0.2,0.19,3.0,12.0,25.0,19.0,3.0,47.4,37.2,10.0,30.0,32.0,12.0,0.0,0.0,1.0,1.0,12.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Levante,Squad Total,,,28.0,38.0,57.0,3.0,1.0,6.0,2.0,50.0,0.29,-5.0,-0.13,136.0,382.0,35.6,943.0,197.0,32.3,32.7,275.0,28.0,29.6,533.0,8.0,1.5,71.0,1.87,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Levante,Opponent Total,,,27.4,38.0,46.0,3.0,0.0,5.0,1.0,40.1,0.27,-4.9,-0.13,283.0,695.0,40.7,921.0,146.0,51.8,40.3,294.0,74.1,54.5,506.0,17.0,3.4,53.0,1.39,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Getafe,David Soria,es ESP,GK,27.0,28.0,31.0,6.0,0.0,3.0,3.0,28.7,0.27,0.7,0.03,291.0,730.0,39.9,660.0,15.0,85.3,51.7,195.0,85.6,55.6,317.0,12.0,3.8,46.0,1.64,18.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Getafe,Rubén Yáñez,es ESP,GK,26.0,10.0,12.0,1.0,0.0,0.0,0.0,11.0,0.33,-1.0,-0.1,79.0,183.0,43.2,203.0,33.0,63.1,43.4,68.0,80.9,54.8,127.0,5.0,3.9,4.0,0.4,12.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Getafe,Squad Total,,,26.7,38.0,43.0,7.0,0.0,3.0,3.0,39.7,0.29,-0.3,-0.01,370.0,913.0,40.5,863.0,48.0,80.1,49.7,263.0,84.4,55.4,444.0,17.0,3.8,50.0,1.32,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Getafe,Opponent Total,,,27.4,38.0,28.0,3.0,0.0,0.0,1.0,27.7,0.22,0.7,0.02,291.0,696.0,41.8,1027.0,173.0,48.6,39.6,299.0,65.9,49.5,606.0,25.0,4.1,51.0,1.34,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Alavés,Fernando Pacheco,es ESP,GK,28.0,37.2,57.0,3.0,0.0,5.0,0.0,51.1,0.35,-5.9,-0.16,305.0,601.0,50.7,777.0,112.0,53.7,40.3,299.0,61.5,44.6,535.0,18.0,3.4,37.0,0.99,14.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Alavés,Antonio Sivera,es ESP,GK,23.0,0.8,,,,,,0.0,0.04,,,4.0,14.0,28.6,15.0,4.0,53.3,39.5,7.0,85.7,53.6,10.0,1.0,10.0,,,8.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Alavés,Squad Total,,,28.7,38.0,57.0,3.0,0.0,5.0,0.0,51.1,0.35,-5.9,-0.15,309.0,615.0,50.2,792.0,116.0,53.7,40.3,306.0,62.1,44.8,545.0,19.0,3.5,37.0,0.97,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Alavés,Opponent Total,,,27.5,38.0,36.0,5.0,2.0,2.0,1.0,35.4,0.29,0.4,0.01,223.0,618.0,36.1,1012.0,154.0,44.9,37.4,238.0,68.9,51.1,496.0,16.0,3.2,51.0,1.34,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Elche,Édgar Badía,es ESP,GK,28.0,30.0,46.0,5.0,0.0,3.0,0.0,52.5,0.33,6.5,0.22,208.0,453.0,45.9,864.0,144.0,33.0,32.7,285.0,58.9,41.4,444.0,8.0,1.8,31.0,1.03,13.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Elche,Paulo Gazzaniga,ar ARG,GK,28.0,8.0,9.0,1.0,0.0,3.0,1.0,6.3,0.24,-1.7,-0.21,59.0,151.0,39.1,180.0,24.0,55.0,45.0,63.0,82.5,62.5,93.0,2.0,2.2,3.0,0.38,12.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
